episode_id,step,day,player,order_type,item,quantity
10dfbcd2-9a84-11f1-b260-0242ac130203,1,0,0,HIRE,,1
10dfbcd2-9a84-11f1-b260-0242ac130203,1,0,0,HIRE,,1
10dfbcd2-9a84-11f1-b260-0242ac130203,1,0,0,HIRE,,1
10dfbcd2-9a84-11f1-b260-0242ac130203,1,0,0,HIRE,,1
10dfbcd2-9a84-11f1-b260-0242ac130203,1,0,0,HIRE,,1
10dfbcd2-9a84-11f1-b260-0242ac130203,1,0,0,BUY_ANIMAL,COW,2
10dfbcd2-9a84-11f1-b260-0242ac130203,1,0,0,BUY_ANIMAL,SHEEP,2
10dfbcd2-9a84-11f1-b260-0242ac130203,1,0,0,BUY_SEED,WHEAT,7
10dfbcd2-9a84-11f1-b260-0242ac130203,1,0,0,BUY_SEED,MELON,12
10dfbcd2-9a84-11f1-b260-0242ac130203,1,0,0,BUY_PRODUCT,WHEAT,6
10dfbcd2-9a84-11f1-b260-0242ac130203,2,0,0,SELL,WHEAT,3
10dfbcd2-9a84-11f1-b260-0242ac130203,7,0,0,BUY_PRODUCT,WHEAT,2
10dfbcd2-9a84-11f1-b260-0242ac130203,13,0,0,BUY_PRODUCT,WHEAT,1
10dfbcd2-9a84-11f1-b260-0242ac130203,43,1,0,SELL,FERTILIZER,3
10dfbcd2-9a84-11f1-b260-0242ac130203,43,1,0,BUY_PRODUCT,WHEAT,5
10dfbcd2-9a84-11f1-b260-0242ac130203,49,2,0,HIRE,,1
10dfbcd2-9a84-11f1-b260-0242ac130203,49,2,0,HIRE,,1
10dfbcd2-9a84-11f1-b260-0242ac130203,49,2,0,HIRE,,1
10dfbcd2-9a84-11f1-b260-0242ac130203,49,2,0,HIRE,,1
10dfbcd2-9a84-11f1-b260-0242ac130203,51,2,0,BUY_PRODUCT,WHEAT,2
10dfbcd2-9a84-11f1-b260-0242ac130203,57,2,0,BUY_PRODUCT,WHEAT,2
10dfbcd2-9a84-11f1-b260-0242ac130203,73,3,0,SELL,FERTILIZER,4
10dfbcd2-9a84-11f1-b260-0242ac130203,73,3,0,BUY_ANIMAL,COW,1
10dfbcd2-9a84-11f1-b260-0242ac130203,73,3,0,HIRE,,1
10dfbcd2-9a84-11f1-b260-0242ac130203,73,3,0,HIRE,,1
10dfbcd2-9a84-11f1-b260-0242ac130203,74,3,0,HIRE,,1
10dfbcd2-9a84-11f1-b260-0242ac130203,74,3,0,HIRE,,1
10dfbcd2-9a84-11f1-b260-0242ac130203,74,3,0,HIRE,,1
10dfbcd2-9a84-11f1-b260-0242ac130203,97,4,0,SELL,FERTILIZER,4
10dfbcd2-9a84-11f1-b260-0242ac130203,97,4,0,HIRE,,1
10dfbcd2-9a84-11f1-b260-0242ac130203,97,4,0,HIRE,,1
10dfbcd2-9a84-11f1-b260-0242ac130203,97,4,0,HIRE,,1
10dfbcd2-9a84-11f1-b260-0242ac130203,97,4,0,HIRE,,1
10dfbcd2-9a84-11f1-b260-0242ac130203,97,4,0,HIRE,,1
10dfbcd2-9a84-11f1-b260-0242ac130203,97,4,0,BUY_PRODUCT,WHEAT,6
10dfbcd2-9a84-11f1-b260-0242ac130203,97,4,0,BUY_SEED,WHEAT,7
10dfbcd2-9a84-11f1-b260-0242ac130203,117,4,0,SELL,WHEAT,1
10dfbcd2-9a84-11f1-b260-0242ac130203,121,5,0,SELL,WHEAT,17
10dfbcd2-9a84-11f1-b260-0242ac130203,121,5,0,SELL,FERTILIZER,5
10dfbcd2-9a84-11f1-b260-0242ac130203,121,5,0,BUY_ANIMAL,COW,1
10dfbcd2-9a84-11f1-b260-0242ac130203,121,5,0,HIRE,,1
10dfbcd2-9a84-11f1-b260-0242ac130203,121,5,0,HIRE,,1
10dfbcd2-9a84-11f1-b260-0242ac130203,121,5,0,HIRE,,1
10dfbcd2-9a84-11f1-b260-0242ac130203,121,5,0,HIRE,,1
10dfbcd2-9a84-11f1-b260-0242ac130203,121,5,0,BUY_SEED,STRAWBERRY,3
10dfbcd2-9a84-11f1-b260-0242ac130203,122,5,0,BUY_SEED,STRAWBERRY,1
10dfbcd2-9a84-11f1-b260-0242ac130203,136,5,0,BUY_PRODUCT,WHEAT,2
10dfbcd2-9a84-11f1-b260-0242ac130203,145,6,0,SELL,FERTILIZER,5
10dfbcd2-9a84-11f1-b260-0242ac130203,145,6,0,HIRE,,1
10dfbcd2-9a84-11f1-b260-0242ac130203,145,6,0,HIRE,,1
10dfbcd2-9a84-11f1-b260-0242ac130203,145,6,0,HIRE,,1
10dfbcd2-9a84-11f1-b260-0242ac130203,145,6,0,HIRE,,1
10dfbcd2-9a84-11f1-b260-0242ac130203,145,6,0,BUY_SEED,STRAWBERRY,3
10dfbcd2-9a84-11f1-b260-0242ac130203,146,6,0,BUY_SEED,CARROT,3
10dfbcd2-9a84-11f1-b260-0242ac130203,149,6,0,SELL,WOOL,6
10dfbcd2-9a84-11f1-b260-0242ac130203,149,6,0,BUY_LAND,,1
10dfbcd2-9a84-11f1-b260-0242ac130203,150,6,0,BUY_PRODUCT,WHEAT,2
